City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
418,ballito,-29.539,31.2144,20.08000000000004,60,0,2.57,ZA,1689158757
419,oromocto,45.8351,-66.4792,20.400000000000034,100,100,1.54,CA,1689158758
420,san julian,21.0167,-102.1667,14.400000000000034,83,13,1.97,MX,1689158760
421,saint-philippe,-21.3585,55.7679,25.77000000000004,73,16,3.33,RE,1689158761
422,miedzyrzec podlaski,51.9864,22.7825,27.49000000000001,37,43,4.22,PL,1689158762
423,eirunepe,-6.6603,-69.8736,21.910000000000025,85,1,0.83,BR,1689158763
424,tofol,5.3248,163.0078,29.0,73,52,4.65,FM,1689158764
425,ismailia,30.6043,32.2723,34.04000000000002,46,0,5.14,EG,1689158766
426,kinik,39.0872,27.3833,32.950000000000045,25,0,4.58,TR,1689158767
427,den helder,52.9599,4.7593,21.640000000000043,74,75,7.72,NL,1689158768
428,nova odesa,47.3078,31.7851,26.470000000000027,36,10,3.64,UA,1689158770
429,patacamaya,-17.2333,-67.9167,3.5600000000000023,39,15,2.31,BO,1689158771
430,santa cruz do rio pardo,-22.8989,-49.6325,18.110000000000014,67,0,1.75,BR,1689158772
431,west bay,19.3667,-81.4167,29.439999999999998,85,18,0.89,KY,1689158773
432,keita,14.7551,5.7749,33.99000000000001,41,100,5.78,NE,1689158774
433,grand falls-windsor,48.9332,-55.6649,18.060000000000002,87,98,0.89,CA,1689158718
434,takaungu,-3.6837,39.8566,27.25,66,63,10.28,KE,1689158776
435,antsiranana,-12.2787,49.2917,30.420000000000016,45,20,3.09,MG,1689158777
436,fort mcmurray,56.7268,-111.381,14.770000000000039,88,75,1.54,CA,1689158778
437,ashchysay,43.5542,68.8889,35.860000000000014,10,0,6.28,KZ,1689158780
438,kiunga,-6.1219,141.2906,23.890000000000043,99,99,1.8,PG,1689158783
439,chrysoupolis,40.9856,24.6939,32.89000000000004,40,0,2.57,GR,1689158786
440,taounate,34.5,-4.8333,37.26000000000005,23,54,2.87,MA,1689158787
441,beloyarskiy,63.7119,66.6722,17.0,53,100,3.33,RU,1689158788
442,alo,7.4178,6.7371,29.05000000000001,75,100,2.52,NG,1689158789
443,gadzhiyevo,69.2551,33.3362,23.210000000000036,41,7,3.2,RU,1689158790
444,moroeni,45.2167,25.4333,28.650000000000034,48,26,3.63,RO,1689158791
445,mirante do paranapanema,-22.2919,-51.9064,18.160000000000025,54,0,2.31,BR,1689158792
446,severo-yeniseyskiy,60.3725,93.0408,19.200000000000045,33,6,3.72,RU,1689158793
447,joniskis,56.2403,23.6153,23.510000000000048,36,10,2.0,LT,1689158794
448,barcelos,41.5388,-8.6151,23.710000000000036,62,62,3.49,PT,1689158795
449,rikaze,29.25,88.8833,21.230000000000018,37,97,6.84,CN,1689158796
450,kintampo,8.0563,-1.7306,27.890000000000043,68,99,2.29,GH,1689158797
451,nuuk,64.1835,-51.7216,15.340000000000032,77,0,6.69,GL,1689158798
452,samtredia,42.1537,42.3352,27.150000000000034,50,0,1.03,GE,1689158799
453,xishan,27.6667,113.5,32.700000000000045,57,84,1.93,CN,1689158800
454,puerto aysen,-45.4,-72.7,-5.46999999999997,97,38,0.63,CL,1689158801
455,prince george,53.9166,-122.753,11.25,85,100,3.09,CA,1689158802
456,greenwood,34.1668,-82.1165,19.79000000000002,100,0,0.0,US,1689158803
457,rongelap,11.1635,166.8941,28.29000000000002,80,17,6.56,MH,1689158804
458,ain el bya,35.8039,-0.3018,38.27000000000004,40,1,4.45,DZ,1689158805
459,floro,61.5996,5.0328,20.129999999999995,77,75,5.14,NO,1689158806
460,terrace,54.5163,-128.6035,12.340000000000032,76,0,3.09,CA,1689158807
461,brookings,44.3114,-96.7984,13.390000000000043,98,100,9.26,US,1689158669
462,kinablangan,7.6947,126.5503,27.140000000000043,85,96,2.3,PH,1689158809
463,lata,40.1629,-8.3327,22.82000000000005,50,89,3.89,PT,1689158810
464,siniscola,40.5719,9.6922,36.75,48,1,5.08,IT,1689158811
465,sroda wielkopolska,52.2284,17.2762,22.810000000000002,74,99,4.52,PL,1689158812
466,katsuren-haebaru,26.3369,127.8719,30.220000000000027,74,20,2.57,JP,1689158813
467,kavalerovo,44.2661,135.0572,16.400000000000034,98,99,0.66,RU,1689158814
468,adigrat,14.277,39.462,21.200000000000045,51,99,3.43,ET,1689158815
469,el quebrachal,-25.2833,-64.0667,15.980000000000018,86,96,5.08,AR,1689158816
470,sacueni,47.35,22.1,31.230000000000018,45,15,5.16,RO,1689158817
471,nouadhibou,20.931,-17.0347,22.99000000000001,88,40,2.06,MR,1689158818
472,mejit,10.2753,170.8646,28.25,79,30,6.2,MH,1689158819
